"","date1","date2","Prc","date_diff"
"302",2014-10-14,2014-10-17,0.0140845070422535,3
"303",2014-10-14,2014-10-18,0.0985915492957746,4
"304",2014-10-14,2014-10-19,0.0140845070422535,5
"305",2014-10-14,2014-10-20,0.0422535211267606,6
"306",2014-10-14,2014-10-21,0.0563380281690141,7
"307",2014-10-14,2014-10-22,0.0422535211267606,8
"308",2014-10-14,2014-10-23,0.0422535211267606,9
"309",2014-10-14,2014-10-24,0.0140845070422535,10
"310",2014-10-14,2014-10-25,0.0422535211267606,11
"311",2014-10-14,2014-10-26,0.0140845070422535,12
"312",2014-10-14,2014-10-27,0.0422535211267606,13
"313",2014-10-14,2014-10-28,0.0422535211267606,14
"314",2014-10-14,2014-10-29,0.028169014084507,15
"315",2014-10-14,2014-10-30,0.028169014084507,16
"316",2014-10-15,2014-10-16,0.0126582278481013,1
"317",2014-10-15,2014-10-17,0.0379746835443038,2
"318",2014-10-15,2014-10-18,0.0253164556962025,3
"319",2014-10-15,2014-10-19,0.0253164556962025,4
"320",2014-10-15,2014-10-20,0.0126582278481013,5
"321",2014-10-15,2014-10-21,0.0253164556962025,6
"322",2014-10-15,2014-10-22,0,7
"323",2014-10-15,2014-10-23,0.0379746835443038,8
"324",2014-10-15,2014-10-24,0.0253164556962025,9
"325",2014-10-15,2014-10-25,0.0126582278481013,10
"326",2014-10-15,2014-10-26,0.0253164556962025,11
"327",2014-10-15,2014-10-27,0.0632911392405063,12
"328",2014-10-15,2014-10-28,0.0253164556962025,13
"329",2014-10-15,2014-10-29,0.0506329113924051,14
"330",2014-10-15,2014-10-30,0.0253164556962025,15
"331",2014-10-16,2014-10-17,0.0447761194029851,1
"332",2014-10-16,2014-10-18,0,2
"333",2014-10-16,2014-10-19,0.0895522388059701,3
"334",2014-10-16,2014-10-20,0.0447761194029851,4
"335",2014-10-16,2014-10-21,0.0447761194029851,5
"336",2014-10-16,2014-10-22,0.0149253731343284,6
"337",2014-10-16,2014-10-23,0,7
"338",2014-10-16,2014-10-24,0.0149253731343284,8
"339",2014-10-16,2014-10-25,0.0298507462686567,9
"340",2014-10-16,2014-10-26,0.0298507462686567,10
"341",2014-10-16,2014-10-27,0.0149253731343284,11
"342",2014-10-16,2014-10-28,0,12
"343",2014-10-16,2014-10-29,0.0298507462686567,13
"344",2014-10-16,2014-10-30,0.0149253731343284,14
"345",2014-10-17,2014-10-18,0.0147058823529412,1
"346",2014-10-17,2014-10-19,0.0294117647058824,2
"347",2014-10-17,2014-10-20,0.0147058823529412,3
"348",2014-10-17,2014-10-21,0,4
"349",2014-10-17,2014-10-22,0,5
"350",2014-10-17,2014-10-23,0.0147058823529412,6
